caso_id,bloque,token_propuesto,valor_esperado,base,solapa,clave,columna,operacion,estado,nota
V-125,m2_semana_2808,m2_mails_enviados / m2_mails_entregados / m2_aperturas / m2_or / m2_clics / m2_ctor,"enviados 1.348.720; entregados 1.337.392; aperturas 433.403; OR 32,4%; clics 12.316; CTOR 2,8%",digital,Directa Mail,tipo_envio=m2; SEMANA DEL 28/08 AL 04/09,Enviados / Entregados / Aperturas / Clics,SUMA y PCT,exacto,"SEGUNDA CONFIRMACION DE V-124, SOBRE OTRA VENTANA Y OTRO PAR DE DECKS. Comparados el 04/09/2026: deck del motor ""Informe_semanal_JM vie 28/08 - vie 04/09"" (L-038) contra el deck del equipo ""Informe semanal JM - 28/08 al 04/09"", version de las 10:45, los dos aportados por el usuario. Los cuatro absolutos coinciden DIGITO A DIGITO: 1.348.720 / 1.337.392 / 433.403 / 12.316. Los dos porcentajes coinciden con el redondeo del equipo: motor 32,4% contra 32%, motor 2,8% contra 3%; el equipo redondea a entero en esa lamina. || POR QUE EXISTE HABIENDO V-124: V-124 quedo fechado en la semana del 21/08. Este reproduce sobre la del 28/08 al 04/09, con bases que se movieron en el medio (R-31). Que los seis vuelvan a cerrar sobre otra ventana es evidencia mas fuerte que repetir la misma semana. || CONSECUENCIA: salen de _revisar y vuelven a su formato base, miles y porcentaje_sin_signo, que es el que tenian en el snapshot del 31/08. En el deck del 04/09 publicaban entre guiones, es decir con la marca de no validado puesta DESPUES de que V-124 los validara el 02/09. || LIMITE: es una comparacion entre dos decks, no contra la planilla. Certifica que el motor publica lo mismo que el equipo, no de donde lo saca cada uno."
C-87,m2_semana_2808,m2_envios / m2_campanias,"envios: motor 23, equipo 22 || campanias: motor 21, equipo 15 ""Proyectos""",digital,Directa Mail,tipo_envio=m2,mail_id_cuenta / mail_campana,CONTEO / CUENTA_DISTINTOS,cerrado,"DECISION DEL USUARIO, 04/09/2026: NO HAY NUMERO FINAL AUTOMATICO Y NO SE VUELVE SOBRE ESTO. El equipo ADAPTA las campanias al armar la lamina -agrupa, unifica y renombra-, asi que su conteo y el del motor cuentan cosas distintas por construccion. La diferencia no es un defecto del motor ni de la fuente. || ALCANCE: cierra las dos diferencias de conteo de L-038 -envios 23 contra 22, y campanias 21 contra los 15 Proyectos del equipo- y CIERRA TAMBIEN la pregunta que V-124 habia dejado abierta sobre que marcador mide ""proyectos"". Ya no hace falta elegir entre m2_campanias y la columna literal Proyecto: ninguna de las dos puede reproducir un numero que se arma a mano. || LO QUE SE PUBLICA: el conteo del motor, que es el de su fuente, sin _revisar. L-038 esta cerrada por decision del usuario. || NO REABRIR salvo que el equipo deje de adaptar las campanias, que es el evento que invalida esta entrada."
C-88,alcance_campana_2808,camp_alcance,"motor 872.827; equipo 1.271.754",digital,resumen_metricas_dinamico,campania de L-045/L-046 semana 28/08-04/09,alcance,ULTIMO,abierto,"EL ALCANCE DE CAMPANIA DIFIERE Y ES UN SOLO NUMERO, NO DOS. Comparados el 04/09/2026 el deck del motor jm de las 11:42 contra el del equipo de las 11:25. || POR QUE ES UNO SOLO: medido sobre MARCADORES, NO EXISTE ningun marcador de alcance por plataforma. Hay UNO -camp_alcance, sin dimensiones- contra TRES de impresiones, tres de vistas y tres de VTR, todos con plataforma=... sobre DIGITAL. Asi que la caja de alcance de Meta de L-046 no tiene marcador propio: es el MISMO token pintado dos veces por replaceAllText, que pinta el deck entero cuando el token no es exclusivo. El equipo tambien publica el mismo numero en los dos lugares. || LO QUE FALTA MEDIR: camp_alcance es ULTIMO, o sea que ELIGE UNA FILA. Si resumen_metricas_dinamico trae una fila por plataforma, el alcance total del motor es el de UNA plataforma, lo que explicaria que coincida con el de Meta SIN ningun bug de suma. diagAlcanceDeCampana() lo mide. || CRUCE CON C-84: aquel midio digital/Alcance con dos filas por cuenta y concluyo que elegir por orden hoy acierta y el dia que el orden cambie publica el cero. Es OTRA solapa: si aca hay una sola fila C-84 NO aplica, y el parecido no es evidencia. || Y C-85 ya midio que el alcance del equipo NO es la suma de las plataformas, es un DEDUPLICADO, y que no hay fuente para el deduplicado: puede que la respuesta correcta para esa caja sea - y no un numero."
C-89,alcance_campana_2808,camp_frecuencia,"motor 32,7; equipo 22,4",digital,resumen_metricas_dinamico,idem C-88,dig_impresiones/alcance,RATIO,abierto,"NO TIENE DEFECTO PROPIO: CUELGA DEL ALCANCE. Es RATIO sobre dig_impresiones/alcance, y las impresiones coinciden con el equipo casi al digito -28.540.835 contra 28.540.942, dentro del drift de R-31-. Aritmetica verificada en los dos decks: 28.540.835/872.827 = 32,7 y 28.540.942/1.271.754 = 22,4. => Si el alcance de C-88 se arregla, esta se arregla sola. NO se le abre caso de defecto aparte y NO se toca su formato."
C-90,alcance_campana_2808,camp_meta_frecuencia,"motor 2,38; equipo 1,64",digital,resumen_metricas_dinamico,idem C-88,meta_frecuencia,ULTIMO,abierto,"CASO PROPIO, Y ES LO QUE CORRIGE EL ANALISIS DEL 04/09. Se habia escrito que las dos frecuencias colgaban del alcance y eran un solo defecto. FALSO para esta: camp_meta_frecuencia es ULTIMO sobre una columna propia, meta_frecuencia, asi que EL MOTOR NO LA CALCULA. || Y sin embargo publico 2,38, que es exactamente 2.080.014/872.827. O la fuente calcula igual y el problema esta rio arriba, o es coincidencia: las dos posibilidades exigen medicion y ninguna se puede asumir. || LO QUE SE SALVA DEL ANALISIS ES EL METODO, NO LA CONCLUSION: que un derivado sea aritmeticamente consistente con sus operandos publicados dice de donde viene el numero. El error fue SUPONER LA OPERACION EN VEZ DE LEERLA. || Y la leccion general: dos numeros que se mueven juntos NO comparten causa por eso solo."
C-91,drift_L046_2808,camp_google_impresiones / camp_google_vistas / camp_prog_impresiones / camp_prog_clics,"Google imp 1.109.613 vs 1.109.617; Google vistas 1.028.855 vs 1.028.857; Prog imp 25.351.208 vs 25.351.311; Prog clics 36.494 vs 36.423",digital,DIGITAL,semana 28/08-04/09,varias,SUMA,abierto,"DIFERENCIAS CHICAS QUE NO SON EVIDENCIA DE NADA. Dos capturas a 17 MINUTOS de distancia -motor 11:42, equipo 11:25- con las bases moviendose por CAMBIO (R-31). No se puede distinguir drift de defecto con eso, asi que NO van como contradice: van como abierto y con la razon escrita. || Y el discriminador que las separaria de un defecto real ya esta escrito en CLAUDE.md: dos marcadores que comparten camino y difieren solo en el corte. Aca los tres bloques se mueven todos un poco y en las dos direcciones, que es la firma del drift y no la de un error de esquema."
C-92,formato_ctr_2808,camp_meta_ctr / camp_google_ctr / camp_prog_ctr,"motor 0.1 / 0.2 / 0.1 contra equipo 0,15% / 0,17% / 0,14%",digital,DIGITAL,semana 28/08-04/09,Visualizaciones/Impresiones,PCT,abierto,"COINCIDEN O NO, Y EL FORMATO DEL MOTOR TAPA EL DIGITO QUE LO DECIDIRIA. porcentaje_sin_signo publica UN decimal y el equipo usa DOS: 0.1 contra 0,15 no se puede afirmar ni como coincidencia ni como diferencia. || NO ES UN CASO DE VALIDACION SINO UNA DECISION DE FORMATO PENDIENTE, y por eso a estos tres NO se les saca el _revisar: no hay con que afirmar que coinciden. || Se registra como caso para que quede la fecha y el par de numeros; la decision de formato va aparte."
C-93,alcance_campana_2808,camp_alcance,"motor 872.827; equipo 1.271.754 — la MISMA metrica, de la MISMA plataforma",digital,resumen_metricas_dinamico,campania de L-045/L-046 semana 28/08-04/09,meta_alcance,ULTIMO,contradice,"SUPERSEDE LA LECTURA DE C-88 Y CIERRA LA PREGUNTA DE MAPEO. Decision del usuario, 05/09/2026, ahora escrita como R-34: camp_alcance lee meta_alcance PORQUE ES LA UNICA COLUMNA QUE HAY -resumen_metricas_dinamico no tiene alcance total-. NO es un error de mapeo y NO hay nada que arreglar ahi. || LO QUE ESO CAMBIA: C-88 dejaba abierto medir cuantas filas ve ULTIMO y cruzar con C-84. Las dos preguntas quedan SIN OBJETO: no hay desempate que resolver porque no hay dos filas compitiendo, hay una sola columna disponible. C-84 no aplica. || Y LO QUE NO CAMBIA, que es el caso: la diferencia sigue entera y ahora esta SOLA, sin el mapeo como explicacion. Misma metrica, misma plataforma, misma semana => meta_alcance en looker no dice lo que el equipo publica para Meta, y eso es DE LA FUENTE, no del motor. || POR QUE contradice y no abierto: los dos numeros estan medidos contra el deck del equipo del 04/09 11:25 y difieren en 399.000, muy por encima de cualquier drift de R-31. El usuario ya aviso que probablemente no cierren, y eso NO es razon para no registrarlo: una diferencia esperada y una diferencia no medida se ven igual dentro de un mes. || NO SE SUMA POR PLATAFORMA: la suma no es un alcance -una persona alcanzada por dos plataformas contaria dos veces- y C-85 ya midio que el alcance del equipo tampoco es la suma porque es un DEDUPLICADO, sin fuente disponible."
C-94,alcance_campana_2808,camp_alcance,"motor 872.827; equipo 1.271.754 — diferencia EXPLICADA, no defecto",digital,resumen_metricas_dinamico,campania de L-045/L-046 semana 28/08-04/09,meta_alcance,ULTIMO,cerrado,"SUPERSEDE A C-93 Y CIERRA EL ALCANCE. Decision del usuario, 05/09/2026: se deja el 872.827; el equipo NO ACTUALIZA LA BASE y su alcance sale de la plataforma. => El motor lee bien y la diferencia es ESPERADA: las dos partes miran fuentes distintas. || POR QUE cerrado Y NO contradice: contradice afirma que el motor publica algo mal. Aca no publica nada mal. El estado existe y tiene precedente exacto en C-87 -decision del usuario que explica una diferencia y declara que no es defecto del motor ni de la fuente-, asi que no hubo que inventarlo ni forzarlo. Se descarto deriva porque en estos CSV esta SOBRECARGADO: aparece como valor de la columna base -V-59, X-10: derivado de otros marcadores- y tambien como estado -X-13/X-14/X-15: el numero derivo, hay residuo-, y aca se leeria como el segundo. || QUE SUPERSEDE DE C-93: C-93 lo registro como contradice bajo la premisa de que la diferencia estaba SIN CAUSA. Tenia causa. La regla R-34 no cambio; cambio lo que se sabe de la diferencia. C-93 queda como evidencia fechada de esa lectura. || Y NO SE SUMA POR PLATAFORMA: la suma no es un alcance -una persona alcanzada por dos plataformas contaria dos veces- y C-85 ya midio que el del equipo tampoco es la suma, es un DEDUPLICADO."
C-95,alcance_campana_2808,camp_frecuencia,"motor 32,7; equipo 22,4 — derivado, sin defecto propio",digital,resumen_metricas_dinamico,idem C-94,dig_impresiones/alcance,RATIO,cerrado,"DERIVADO DE C-94, SIN CASO PROPIO DE DEFECTO. Es RATIO sobre dig_impresiones/alcance, asi que hereda entero el alcance de C-94 y no tiene vida propia respecto de sus insumos. Mismo criterio que freno los dos *_vtr en el _7. || LA ARITMETICA, escrita para que se pueda reverificar en un minuto en vez de rehacer el analisis: motor 28.540.835/872.827 = 32,7 y equipo 28.540.942/1.271.754 = 22,4. Las impresiones coinciden casi al digito -107 de diferencia, dentro del drift de R-31-, asi que TODA la brecha del cociente viene del denominador. || CONSECUENCIA: no se le abre caso de defecto, no se le toca el formato y no se le pone _revisar. Supersede el estado abierto de C-89, que lo dejaba colgando de un alcance sin explicar."
